landuse,area_m2,population_density,population_estimate,density_level,lat,lon
residential,49328.35258250367,9500,468.6193495337849,yüksek,38.500169143018894,39.32087612248882
residential,68670.34669932269,9500,652.3682936435655,yüksek,38.50951637274743,39.5279349865551
residential,123034.22934827986,9500,1168.8251788086586,yüksek,38.51254186226237,39.55192860624759
residential,13116.699746510472,9500,124.60864759184949,yüksek,38.52840060495097,39.47202428231122
residential,870576.4159766014,9500,8270.475951777713,yüksek,38.51945364341407,39.518840282208295
residential,40894.676768558136,9500,388.4994293013023,yüksek,38.52399680602405,39.50854544316623
residential,17916.09166139671,9500,170.20287078326874,yüksek,38.52828977803034,39.46964785214844
residential,25171.593794214543,9500,239.13014104503816,yüksek,38.44042761907749,39.52365354600095
residential,72639.30031253421,9500,690.073352969075,yüksek,38.52294833218005,39.50506302230982
residential,74637.11401918698,9500,709.0525831822763,yüksek,38.481529872965694,39.520016301691115
residential,55451.53689386397,9500,526.7896004917077,yüksek,38.61943429291131,39.76309050787258
residential,44453.952333907975,9500,422.31254717212573,yüksek,38.62493442371015,39.742275060706795
residential,73560.9406727164,9500,698.8289363908059,yüksek,38.62520658610268,39.84193958779563
residential,88513.70183436736,9500,840.8801674264898,yüksek,38.604327060438784,39.819351141218405
residential,83881.96480003618,9500,796.8786656003437,yüksek,38.631845771526905,39.86185473477117
residential,70630.01665126665,9500,670.9851581870332,yüksek,38.54716839219044,39.781107066920725
residential,114865.8880040757,9500,1091.2259360387193,yüksek,38.613935156810015,39.83056957635371
residential,15064.717620248855,9500,143.1148173923641,yüksek,38.58879820666146,39.78078819822998
residential,8082.8641773021845,9500,76.78720968437075,yüksek,38.657217916037794,39.867386080787874
residential,3186.6118738038294,9500,30.27281280113638,yüksek,38.55549901156797,39.78782344035022
residential,35425.68821506899,9500,336.5440380431554,yüksek,38.60584207317998,39.72948550741902
residential,37338.29771685827,9500,354.7138283101536,yüksek,38.59314062264286,39.77622494806261
