name,highway,length_m,importance
,tertiary,1042.4355930824893,5
,tertiary,1035.0494134032085,5
,primary,469.8216687489579,3
,secondary,3156.556062759628,4
,secondary,99.26422942665423,4
Gazi Caddesi,secondary,851.8609915766743,4
,tertiary,1361.0379730470738,5
,secondary,3207.808076189334,4
,tertiary,6039.655315530786,5
,tertiary,6039.655315530786,5
,secondary,2166.350523265632,4
Kazım Karabekir Caddesi,tertiary,1790.876779310153,5
,residential,216.45336838075278,6
,residential,359.9183947764376,6
,tertiary,2738.612251329743,5
Ulukent Caddesi,tertiary,2733.3486561497375,5
,residential,1486.9175962200868,6
,secondary,2173.3017792975197,4
,primary,1727.955262796356,3
,residential,172.89125943640911,6
,tertiary,289.9021762715037,5
,residential,547.5443081786374,6
,residential,547.5443081786374,6
,secondary,160.34721405960454,4
,residential,442.0584270761061,6
,tertiary,663.2531821815126,5
,tertiary,3568.9040167281532,5
,tertiary,213.15854430028241,5
Beyzade Efendi Bulvarı,secondary,538.1951776148892,4
,tertiary,3217.454267140942,5
,tertiary,3217.454267140942,5
,tertiary,1503.3367196718655,5
Balakgazi Caddesi,secondary,505.1025288206715,4
,tertiary,3548.8669311198546,5
,tertiary,50.02768652162318,5
,residential,428.342676722714,6
,residential,217.7652512513289,6
,tertiary,473.2652275983612,5
,secondary,3312.483922456399,4
,tertiary,184.8280572000917,5
,secondary,281.7959797287798,4
İmam Efendi Bulvarı,secondary,1358.7998735558008,4
,tertiary,118.81257849667114,5
,residential,240.9288527388508,6
,tertiary,763.0772175634199,5
,residential,232.15617655504627,6
,residential,252.1024947364353,6
Balakgazi Caddesi,secondary,790.8843394123568,4
,tertiary,577.5763383573458,5
,secondary,274.45118160137724,4
,residential,357.97517567592064,6
,residential,359.45227058569475,6
,tertiary,915.1202543004055,5
Kazım Karabekir Caddesi,tertiary,3300.3256041848986,5
,tertiary,3854.7926690791037,5
,secondary,1762.054208082255,4
,secondary,346.55233616746233,4
,secondary,103.67658236339719,4
,tertiary,3807.597011844625,5
,tertiary,845.0226906675523,5
,secondary,1812.428334885853,4
Ulukent Caddesi,tertiary,1517.512035389263,5
,tertiary,583.1985922718756,5
,secondary,96.07838380165734,4
,residential,1245.9811047795874,6
,residential,1245.9811047795874,6
,tertiary,8060.959746423737,5
,tertiary,8060.959746423737,5
,tertiary,132.96002454569913,5
,secondary,1610.1212802162656,4
,tertiary,3946.4247792935707,5
,tertiary,3946.4247792935707,5
,secondary,1595.283839893809,4
,secondary,613.7727970807747,4
,residential,418.86388197895343,6
,secondary,6394.747764113011,4
,tertiary,1159.3845140688272,5
,secondary,2025.3033312346486,4
,secondary,1080.863144894126,4
Elazığ-Diyarbakır yolu,trunk,70.24845753334837,2
Elazığ-Diyarbakır yolu,trunk,9502.494432408928,2
Elazığ-Diyarbakır yolu,trunk,75.77391028878226,2
,residential,122.32315108192802,6
,residential,126.81552541964935,6
,residential,160.25131821270222,6
Diyarbakır-Elazığ yolu,trunk,2223.8161809664525,2
Elazığ-Bingöl yolu,trunk,1758.62897281615,2
Elazığ-Bingöl yolu,trunk,58.306556662973314,2
Elazığ-Bingöl yolu,trunk,66.31282927872972,2
Elazığ-Bingöl yolu,trunk,14328.5565109961,2
Elazığ-Bingöl yolu,trunk,14328.5565109961,2
Elazığ-Bingöl yolu,trunk,28326.898513592132,2
Elazığ-Bingöl yolu,trunk,5575.240139531669,2
Elazığ-Bingöl yolu,trunk,1776.0107275383475,2
Elazığ-Diyarbakır yolu,trunk,5100.2785752948,2
Elazığ-Tunceli yolu,trunk,10281.304960685933,2
,tertiary,5324.869440073905,5
,tertiary,4159.661306150864,5
,residential,567.7462328976641,6
,residential,167.54252118650717,6
,residential,94.00594215066526,6
,residential,97.80764406711927,6
,residential,731.1008173530248,6
,tertiary,3310.7667736350454,5
,residential,95.13572502515407,6
,residential,157.4874693653336,6
,tertiary,6174.284243016351,5
,tertiary,4873.259511481979,5
,secondary,2489.06030362014,4
,secondary,150.68858722644575,4
,secondary,7701.985181162855,4
Gümeçbağlar yolu,tertiary,1912.5578257105267,5
Gümeçbağlar yolu,tertiary,1912.5578257105267,5
Hatunköy yolu,tertiary,1924.0309464205843,5
Hatunköy yolu,tertiary,5500.424182417223,5
Hazar Yolu,secondary,6356.865812363842,4
Karasalkım yolu,tertiary,2820.366316314862,5
Karasalkım yolu,tertiary,2820.366316314862,5
,residential,329.26049040461703,6
,residential,162.0703588689424,6
,residential,843.8048649253193,6
,residential,902.9598537986756,6
,residential,498.14378351312934,6
,residential,555.9456231892362,6
,residential,415.3601542065277,6
,tertiary,770.9113157365714,5
,residential,1505.924272053672,6
,residential,30.916901077353636,6
,residential,245.2039957654889,6
,tertiary,25.817295944725554,5
,residential,8.677127471237386,6
,tertiary,31.915670941028942,5
,tertiary,20.88717030495921,5
,tertiary,11.35263998600566,5
,residential,177.53718113986127,6
,residential,828.0405838160798,6
,residential,496.03499479041847,6
,residential,58.91340824759285,6
,residential,69.40972329378579,6
,tertiary,2847.4170915548657,5
,tertiary,3626.7848094542514,5
,residential,190.38961271271734,6
,residential,338.82073192273816,6
,residential,300.56488901046623,6
,residential,318.76746420129933,6
,tertiary,2237.092397778272,5
,tertiary,3001.7488397858037,5
,residential,121.48880363719364,6
,residential,923.9935303970576,6
,residential,364.8600964236368,6
,tertiary,1972.3217799918577,5
,tertiary,3254.3579200195895,5
,residential,270.4011133793099,6
,residential,193.31797646029247,6
,residential,193.31797646029247,6
,residential,243.85321022180412,6
,residential,290.3119789998376,6
,residential,759.7735175565737,6
,tertiary,624.6335543722148,5
,residential,894.1601483909309,6
,residential,908.1098774889573,6
,residential,980.9237889817058,6
,residential,262.5982551304243,6
Örencik yolu,tertiary,1771.6634003842614,5
,secondary,1442.3559261377886,4
,secondary,1991.303249257998,4
,secondary,33.325103476295624,4
,secondary,59.534290315656676,4
,secondary,76.8855278063299,4
,secondary,54.64966430437742,4
,secondary,17.801814071461248,4
,secondary,33.07987737051526,4
,secondary,2744.50080234179,4
,secondary,4567.936697755156,4
,secondary,4567.936697755156,4
,secondary,4106.218913594177,4
,secondary,104.55676879477662,4
,secondary,110.00641656056274,4
,secondary,7562.754224426684,4
,secondary,8818.194168392743,4
,secondary,8818.194168392743,4
,secondary,1366.5323315008723,4
,secondary,2899.491971297055,4
,secondary,31.323061319185378,4
,secondary,42.1774225795032,4
Hazar yolu,secondary,6153.507721888431,4
Alacakaya - Maden yolu,secondary,4581.928461460191,4
